Batsman,Innings,Runs,Balls,Outs,Avg,SR,100s,50s,HS,Initial_Q,MakeItRelative,Remove_outliers,Semi_final_Q,Quantifier
V Kohli,16,973,637,12,81.1,152.7,4,7,113,0.127289377,42.42979243,42.42979243,157.4297924,0.787148962
CA Lynn,22,931,610,17,54.8,152.6,0,8,86,0.089778206,29.92606879,29.92606879,98.63110476,0.493155524
AB de Villiers,21,917,558,17,53.9,164.3,1,8,129,0.096668775,32.22292501,32.22292501,112.9963063,0.564981532
CH Gayle,32,872,536,29,30.1,162.7,1,6,108,0.056098816,18.69960542,18.69960542,88.08552526,0.440427626
SR Watson,38,865,636,33,26.2,136,0,6,79,0.041214027,13.73800902,13.73800902,70.40810152,0.352040508
DA Warner,17,848,559,15,56.5,151.7,0,9,93,0.101132976,33.71099185,33.71099185,104.8569322,0.524284661
DR Smith,29,812,648,27,30.1,125.3,0,9,73,0.046410608,15.47020271,15.47020271,85.50617394,0.42753087
AD Russell,34,706,431,31,22.8,163.8,1,0,100,0.052840356,17.61345209,17.61345209,51.88118076,0.259405904
BB McCullum,28,627,441,26,24.1,142.2,0,2,72,0.054683412,18.22780394,18.22780394,47.55976694,0.237798835
AJ Finch,16,576,415,13,44.3,138.8,0,7,74,0.106765524,35.58850788,35.58850788,88.34801456,0.441740073
HM Amla,17,567,442,17,33.4,128.3,0,4,96,0.075459143,25.15304764,25.15304764,62.63506203,0.31317531
DJ Bravo,37,551,404,24,23,136.4,0,2,66,0.056827558,18.94251925,18.94251925,45.93121401,0.22965607
KP Pietersen,20,515,370,16,32.2,139.2,0,4,74,0.086993243,28.99774775,28.99774775,64.87647334,0.324382367
S Dhawan,17,501,427,13,38.5,117.3,0,4,82,0.090254008,30.08466943,30.08466943,65.53174034,0.327658702
LMP Simmons,21,501,420,18,27.8,119.3,0,5,62,0.066269841,22.08994709,22.08994709,62.537018,0.31268509
G Gambhir,15,501,411,13,38.5,121.9,0,5,90,0.093767546,31.25584877,31.25584877,71.70291969,0.358514598
RG Sharma,14,489,366,11,44.5,133.6,0,5,85,0.121460507,40.48683557,40.48683557,80.56391676,0.402819584
KC Sangakkara,24,480,355,23,20.9,135.2,0,3,65,0.058787508,19.59583588,19.59583588,49.39542479,0.246977124
AM Rahane,14,480,378,11,43.6,127,0,6,74,0.115440115,38.48003848,38.48003848,83.27962738,0.416398137
J Charles,9,467,296,7,66.7,157.8,0,5,94,0.2253861,75.12870013,75.12870013,114.5274668,0.572637334
LJ Wright,14,458,337,11,41.6,135.9,1,2,109,0.12355004,41.18334682,41.18334682,77.80462123,0.389023106
M Vijay,14,453,364,13,34.8,124.5,0,5,89,0.095731192,31.9103973,31.9103973,70.87750932,0.354387547
Q de Kock,13,445,326,13,34.2,136.5,1,3,108,0.10500236,35.00078653,35.00078653,76.22123874,0.381106194
Umar Akmal,15,442,303,11,40.2,145.9,0,4,94,0.132613261,44.20442044,44.20442044,77.83237522,0.389161876
Shoaib Malik,17,417,377,13,32.1,110.6,0,2,55,0.085084677,28.36155887,28.36155887,51.21870172,0.256093509
KA Pollard,23,404,281,17,23.8,143.8,0,1,51,0.084571907,28.19063568,28.19063568,45.64695634,0.228234782
SK Raina,15,399,312,14,28.5,127.9,0,3,75,0.091346154,30.44871795,30.44871795,57.75087622,0.288754381
KL Rahul,12,397,271,9,44.1,146.5,0,4,68,0.162771628,54.25720924,54.25720924,86.49770256,0.432488513
Shakib Al Hasan,24,396,372,18,22,106.5,0,3,64,0.059139785,19.71326165,19.71326165,46.92292249,0.234614612
RV Uthappa,15,395,289,15,26.3,136.7,0,3,72,0.0911188,30.37293349,30.37293349,57.55176185,0.287758809
C Munro,13,391,278,12,32.6,140.6,1,2,100,0.117206235,39.068745,39.068745,73.62424346,0.368121217
BJ Hodge,18,389,286,11,35.4,136,0,2,85,0.123649078,41.2163594,41.2163594,63.2101929,0.316050965
DJG Sammy,19,386,237,11,35.1,162.9,0,1,59,0.148062908,49.35430252,49.35430252,66.25563859,0.331278193
F du Plessis,16,385,341,16,24.1,112.9,0,2,69,0.070564516,23.52150538,23.52150538,45.39200897,0.226960045
UT Khawaja,9,363,238,8,45.4,152.5,1,2,104,0.190651261,63.55042017,63.55042017,97.24260927,0.486213046
YK Pathan,13,361,247,5,72.2,146.2,0,3,63,0.292307692,97.43589744,97.43589744,123.5664216,0.617832108
KK Nair,12,357,295,10,35.7,121,0,3,83,0.121016949,40.33898305,40.33898305,66.3461773,0.331730886
MEK Hussey,13,353,292,12,29.4,120.9,0,3,71,0.100742009,33.58066971,33.58066971,59.46453405,0.29732267
KD Karthik,15,335,266,13,25.8,125.9,0,3,53,0.096876807,32.29226913,32.29226913,57.62114889,0.288105744
AT Rayudu,12,334,277,11,30.4,120.6,0,2,65,0.109616016,36.53867192,36.53867192,56.83671919,0.284183596
RS Bopara,8,329,246,6,54.8,133.7,0,2,71,0.222899729,74.29990967,74.29990967,94.44379456,0.472218973
Ahmed Shehzad,13,326,239,13,25.1,136.4,0,2,71,0.104924364,34.97478811,34.97478811,55.02617557,0.275130878
GJ Maxwell,13,315,203,10,31.5,155.2,0,4,68,0.155172414,51.72413793,51.72413793,81.43636815,0.407181841
Sharjeel Khan,11,299,201,9,33.2,148.8,1,1,117,0.165284688,55.09489589,55.09489589,81.81380648,0.409069032
GJ Bailey,11,296,236,8,37,125.4,0,3,74,0.156779661,52.25988701,52.25988701,76.38630016,0.381931501
SV Samson,14,291,258,10,29.1,112.8,0,1,60,0.112790698,37.59689922,37.59689922,51.56915,0.25784575
TD Paine,8,290,231,8,36.2,125.5,0,3,91,0.156926407,52.30880231,52.30880231,76.2502206,0.381251103
JN Mohammed,13,288,271,6,48,106.3,0,1,57,0.177121771,59.04059041,59.04059041,72.92034375,0.364601719
MC Henriques,19,287,227,15,19.1,126.4,0,1,76,0.084287812,28.09593735,28.09593735,41.94485821,0.209724291
CAK Walton,12,285,249,11,25.9,114.5,0,2,97,0.104052574,34.68419131,34.68419131,53.47144722,0.267357236
MS Dhoni,12,284,210,7,40.6,135.2,0,1,64,0.193197279,64.39909297,64.39909297,78.1555164,0.390777582
SPD Smith,7,270,175,6,45,154.3,1,0,101,0.257142857,85.71428571,85.71428571,106.5390545,0.532695272
WP Saha,12,270,212,11,24.5,127.4,0,2,56,0.115780446,38.59348199,38.59348199,56.91825075,0.284591254
SE Marsh,11,269,240,9,29.9,112.1,0,2,63,0.124537037,41.51234568,41.51234568,59.80628196,0.29903141
Tamim Iqbal,6,268,232,4,67,115.5,0,3,80,0.288793103,96.26436782,96.26436782,119.5274716,0.597637358
DA Miller,20,268,229,16,16.8,117,0,0,33,0.073144105,24.38136827,24.38136827,32.64447207,0.16322236
BJ Haddin,12,265,192,8,33.1,138,0,3,61,0.172526042,57.50868056,57.50868056,80.67928693,0.403396435
JC Buttler,14,256,184,11,23.3,139.1,0,0,41,0.126482213,42.16073781,42.16073781,50.05385189,0.250269259
ADS Fletcher,10,249,217,9,27.7,114.7,0,2,74,0.12749616,42.49871992,42.49871992,60.17600666,0.300880033
MK Pandey,11,248,183,8,31,135.5,0,2,52,0.169398907,56.46630237,56.46630237,74.11275663,0.370563783
E Lewis,9,247,169,9,27.4,146.2,0,3,79,0.162393162,54.13105413,54.13105413,76.74667592,0.38373338
TM Head,11,246,178,9,27.3,138.2,0,2,51,0.153558052,51.18601748,51.18601748,68.77080679,0.343854034
SW Billings,11,244,186,10,24.4,131.2,0,1,54,0.131182796,43.72759857,43.72759857,56.25072292,0.281253615
MP Stoinis,12,238,215,11,21.6,110.7,0,1,52,0.100634249,33.54474982,33.54474982,45.88287932,0.229414397
JL Carter,10,237,208,9,26.3,113.9,0,0,46,0.126602564,42.2008547,42.2008547,49.50815172,0.247540759
KH Pandya,8,237,124,6,39.5,191.1,0,1,86,0.318548387,106.1827957,0,12.30729702,0.061536485
Yuvraj Singh,10,236,179,9,26.2,131.8,0,0,44,0.146492862,48.83095386,48.83095386,56.1074184,0.280537092
CS Delport,7,227,186,5,45.4,122,0,3,78,0.244086022,81.36200717,81.36200717,103.3609794,0.516804897
MJ Guptill,10,221,193,10,22.1,114.5,0,1,50,0.114507772,38.16925734,38.16925734,49.98323473,0.249916174
Mohammad Hafeez,10,221,177,10,22.1,124.9,0,1,59,0.124858757,41.61958569,41.61958569,53.43356308,0.267167815
N Pooran,7,216,106,6,36,203.8,0,2,81,0.339622642,113.2075472,0,16.65981501,0.083299075
M Klinger,9,214,189,9,23.8,113.2,0,1,72,0.125808348,41.93611601,41.93611601,53.53426606,0.26767133
Khalid Latif,7,207,172,5,41.4,120.3,0,1,59,0.240697674,80.23255814,80.23255814,91.61488085,0.458074404
R Powell,11,206,169,8,25.8,121.9,0,0,44,0.152366864,50.78895464,50.78895464,57.14044487,0.285702224
CL White,7,203,171,6,33.8,118.7,0,2,61,0.19785575,65.95191683,65.95191683,82.21090963,0.411054548
EJG Morgan,9,203,172,8,25.4,118,0,2,52,0.14752907,49.17635659,49.17635659,65.43534939,0.327176747
BR Dunk,8,202,136,8,25.2,148.5,0,1,85,0.185661765,61.8872549,61.8872549,73.11541523,0.365577076
RR Pant,10,198,152,8,24.8,130.3,0,1,69,0.162828947,54.27631579,54.27631579,65.38114621,0.326905731
TP Ludeman,5,195,192,3,65,101.6,0,2,57,0.338541667,112.8472222,0,16.01233299,0.080061665
CH Morris,7,195,109,3,65,178.9,0,1,82,0.596330275,198.7767584,0,11.01233299,0.055061665
NLTC Perera,15,191,131,12,15.9,145.8,0,0,34,0.121501272,40.50042409,40.50042409,46.38942717,0.231947136
JP Duminy,8,191,155,5,38.2,123.2,0,0,49,0.246451613,82.15053763,82.15053763,88.03954072,0.440197704
RA Jadeja,15,185,172,9,20.6,107.6,0,0,36,0.119509044,39.83634798,39.83634798,45.5403562,0.227701781
AI Ross,8,183,144,7,26.1,127.1,0,1,64,0.181547619,60.51587302,60.51587302,71.15821628,0.355791081
Azhar Ali,7,183,172,7,26.1,106.4,0,1,61,0.151993355,50.66445183,50.66445183,61.3067951,0.306533975
SA Yadav,11,179,141,7,25.6,127,0,1,60,0.181357649,60.45254981,60.45254981,70.97156317,0.354857816
PA Patel,10,177,151,10,17.7,117.2,0,1,81,0.117218543,39.07284768,39.07284768,49.53019609,0.24765098
SS Tiwary,7,171,140,7,24.4,122.1,0,2,57,0.174489796,58.16326531,58.16326531,73.43561885,0.367178094
DC Thomas,10,169,106,9,18.8,159.4,0,0,48,0.177148847,59.04961565,59.04961565,64.26030425,0.321301521
Sarfraz Ahmed,9,169,145,6,28.2,116.6,0,1,52,0.194252874,64.75095785,64.75095785,74.96164645,0.374808232
Misbah-ul-Haq,7,166,131,5,33.2,126.7,0,0,41,0.253435115,84.4783715,84.4783715,89.59656266,0.447982813
DJ Malan,8,163,169,6,27.2,96.4,0,1,60,0.160749507,53.58316897,53.58316897,63.6088627,0.318044313
M Vohra,7,161,131,7,23,122.9,0,1,51,0.175572519,58.52417303,58.52417303,68.4882018,0.342441009
NJ Maddinson,9,157,142,9,17.4,110.6,0,2,70,0.1228482,40.9494001,40.9494001,55.79009897,0.278950495
DT Christian,8,154,125,7,22,123.2,0,1,58,0.176,58.66666667,58.66666667,68.41486811,0.342074341
Kamran Akmal,9,151,147,8,18.9,102.7,0,0,45,0.128401361,42.80045351,42.80045351,47.45615752,0.237280788
JJ Peirson,7,148,115,7,21.1,128.7,0,1,51,0.183850932,61.28364389,61.28364389,70.84685047,0.354234252
BCJ Cutting,10,147,90,7,21,163.3,0,0,39,0.233333333,77.77777778,77.77777778,82.31015188,0.411550759
DJ Hooda,15,144,119,13,11.1,121,0,0,34,0.093083387,31.02779573,31.02779573,35.4676724,0.177338362
JW Wells,6,143,123,5,28.6,116.3,0,0,28,0.232520325,77.50677507,77.50677507,81.91581926,0.409579096
Sohail Tanvir,11,140,122,5,28,114.8,0,0,42,0.229508197,76.50273224,76.50273224,80.819279,0.404096395
NV Ojha,13,136,138,9,15.1,98.6,0,0,37,0.109500805,36.50026838,36.50026838,40.69348524,0.203467426
AC Agar,8,132,89,7,18.9,148.3,0,1,68,0.21187801,70.62600321,70.62600321,79.69589016,0.398479451
D Ramdin,7,131,101,3,43.7,129.7,0,1,52,0.432343234,144.1144114,0,9.039054471,0.045195272
CT Bancroft,5,129,99,3,43,130.3,0,1,72,0.434343434,144.7811448,0,8.977389517,0.044886948
BJ Rohrer,8,124,103,5,24.8,120.4,0,0,30,0.240776699,80.25889968,80.25889968,84.08212681,0.420410634
KS Williamson,6,123,122,6,20.5,100.8,0,1,50,0.168032787,56.01092896,56.01092896,64.80332362,0.324016618
Mohammad Nawaz (3),9,120,125,6,20,96,0,0,42,0.16,53.33333333,53.33333333,57.03323056,0.285166153
Sachin Baby,6,119,77,4,29.8,154.5,0,0,33,0.386363636,128.7878788,0,3.669064748,0.018345324
DPMD Jayawardene,3,117,73,3,39,160.3,0,2,57,0.534246575,178.0821918,0,13.60739979,0.068036999
