Bowler,Innings,Overs,Runs,Wickets,Econ,Avg,SR,5W,BBI,Initial_Q,MakeItRelative,Remove_outliers,Semi_final_Q,Quantifier
SP Narine,29,116,657,42,5.7,15.6,16.6,0,20-Apr,0.063926941,91.32420091,91.32420091,141.3242009,0.831318829
B Laughlin,23,79,584,31,7.4,18.8,15.3,0,7-Mar,0.053082192,75.83170254,75.83170254,112.7364644,0.663155673
MM Sharma,21,69.5,582,31,8.3,18.8,13.5,0,14-Apr,0.053264605,76.09229259,76.09229259,112.9970545,0.664688556
BW Hilfenhaus,23,85.3,685,26,8,26.3,19.7,0,27-Apr,0.037956204,54.22314911,54.22314911,85.17553007,0.50103253
AR Patel,22,86,528,25,6.1,21.1,20.6,0,15-Mar,0.047348485,67.64069264,67.64069264,97.4025974,0.572956455
R Rampaul,16,55,403,23,7.3,17.5,14.3,0,18-Apr,0.05707196,81.53137185,81.53137185,108.9123242,0.640660731
SL Malinga,18,70.1,458,22,6.5,20.8,19.1,0,23-Apr,0.048034934,68.621335,68.621335,94.81181119,0.557716536
RA Jadeja,21,68.4,563,22,8.2,25.6,18.7,0,12-Apr,0.039076377,55.82339508,55.82339508,82.01387127,0.482434537
R Ashwin,21,77.5,583,21,7.5,27.8,22.2,0,20-Mar,0.036020583,51.45797599,51.45797599,76.45797599,0.4497528
MA Starc,17,65.4,495,20,7.5,24.8,19.7,0,21-Mar,0.04040404,57.72005772,57.72005772,81.52958153,0.479585774
JP Behrendorff,12,44,291,20,6.6,14.6,13.2,0,22-Apr,0.068728522,98.18360334,98.18360334,121.9931271,0.71760663
K Santokie,13,51.4,421,20,8.1,21,15.5,0,11-Apr,0.047505938,67.86562606,67.86562606,91.67514987,0.539265587
KW Richardson,15,52.1,398,20,7.6,19.9,15.6,0,31-Mar,0.050251256,71.78750897,71.78750897,95.59703278,0.562335487
JW Hastings,12,42.4,307,20,7.2,15.4,12.8,0,20-Mar,0.06514658,93.06654258,93.06654258,116.8760664,0.687506273
B Kumar,14,53.1,354,20,6.7,17.7,16,0,14-Apr,0.056497175,80.7102502,80.7102502,104.519774,0.6148222
PP Chawla,17,61.3,491,19,8,25.8,19.4,0,19-Mar,0.038696538,55.28076811,55.28076811,77.89981573,0.45823421
Yasir Arafat,11,40.5,362,18,8.9,20.1,13.6,0,24-Apr,0.049723757,71.03393844,71.03393844,92.46250987,0.543897117
Sandeep Sharma,11,40.1,354,18,8.8,19.7,13.4,0,15-Mar,0.050847458,72.63922518,72.63922518,94.06779661,0.55333998
Karanveer Singh,10,35.2,281,18,8,15.6,11.8,1,15-May,0.06405694,91.50991357,91.50991357,122.938485,0.723167559
A Nehra,9,34,295,18,8.7,16.4,11.3,0,21-Apr,0.061016949,87.16707022,87.16707022,108.5956416,0.638797892
CJ Gannon,6,20.2,169,17,8.3,9.9,7.2,0,10-Apr,0.100591716,143.7024514,0,20.23809524,0.119047619
MG Johnson,14,53.3,444,17,8.3,26.1,18.9,0,19-Feb,0.038288288,54.6975547,54.6975547,74.93564994,0.440797941
JP Faulkner,18,61.1,545,17,8.9,32.1,21.6,0,9-Mar,0.031192661,44.56094364,44.56094364,64.79903888,0.381170817
AD Russell,20,58,472,17,8.1,27.8,20.5,0,16-Feb,0.036016949,51.4527845,51.4527845,71.69087974,0.421711057
P Awana,12,42.3,407,16,9.6,25.4,15.9,0,30-Apr,0.039312039,56.16005616,56.16005616,75.20767521,0.442398089
VR Aaron,10,36.4,299,16,8.2,18.7,13.8,0,16-Mar,0.053511706,76.44529384,76.44529384,95.49291288,0.561723017
KK Cooper,15,57.2,404,16,7,25.2,21.5,0,26-Mar,0.03960396,56.57708628,56.57708628,75.62470533,0.444851208
DE Bollinger,17,61.5,502,16,8.1,31.4,23.2,0,22-Mar,0.03187251,45.53215709,45.53215709,64.57977613,0.379881036
Harbhajan Singh,17,67,429,16,6.4,26.8,25.1,0,13-Feb,0.037296037,53.28005328,53.28005328,72.32767233,0.425456896
B Lee,11,43.5,314,15,7.2,20.9,17.5,0,28-Apr,0.047770701,68.24385805,68.24385805,86.10100091,0.506476476
KV Sharma,14,50.4,376,15,7.4,25.1,20.3,0,Apr-38,0.039893617,56.99088146,56.99088146,74.84802432,0.440282496
PV Tambe,13,49.1,357,15,7.3,23.8,19.7,0,20-Apr,0.042016807,60.0240096,60.0240096,77.88115246,0.458124426
DJ Bravo,20,64.3,536,15,8.3,35.7,25.8,0,Mar-33,0.027985075,39.97867804,39.97867804,57.8358209,0.340210711
RR Emrit,14,40.3,337,14,8.3,24.1,17.4,0,23-Mar,0.041543027,59.34718101,59.34718101,76.01384768,0.44714028
GS Sandhu,9,35,240,14,6.9,17.1,15,0,19-Mar,0.058333333,83.33333333,83.33333333,100,0.588235294
J Theron,11,40.3,344,14,8.5,24.6,17.4,0,Apr-35,0.040697674,58.13953488,58.13953488,74.80620155,0.44003648
Shakib Al Hasan,15,55,365,14,6.6,26.1,23.6,0,13-Feb,0.038356164,54.79452055,54.79452055,71.46118721,0.420359925
CJ Boyce,10,34,270,13,7.9,20.8,15.7,0,11-Mar,0.048148148,68.78306878,68.78306878,84.25925926,0.495642702
S Badree,13,48,247,13,5.1,19,22.2,0,13-Mar,0.052631579,75.18796992,75.18796992,90.6641604,0.533318591
R Dhawan,13,47.2,365,13,7.7,28.1,21.8,0,14-Feb,0.035616438,50.88062622,50.88062622,66.3568167,0.390334216
L Balaji,9,34,299,12,8.8,24.9,17,0,13-Apr,0.040133779,57.33397038,57.33397038,71.61968466,0.421292263
YS Chahal,14,55,386,12,7,32.2,27.5,0,17-Feb,0.031088083,44.411547,44.411547,58.69726129,0.345278008
R Bhatia,12,38,283,12,7.4,23.6,19,0,23-Mar,0.042402827,60.57546694,60.57546694,74.86118122,0.44035989
GB Hogg,18,60.5,426,12,7,35.5,30.4,0,17-Feb,0.028169014,40.24144869,40.24144869,54.52716298,0.320748018
DL Vettori,17,64.1,398,12,6.2,33.2,32.1,0,13-Mar,0.030150754,43.07250538,43.07250538,57.35821967,0.337401292
