Batsman,Innings,Runs,Balls,Outs,Avg,SR,100s,50s,HS,Initial_Q,MakeItRelative,Remove_outliers,Semi_final_Q,Quantifier
V Kohli,13,642,453,6,107,141.7,0,7,90,0.236203091,48.20471235,48.20471235,218.2047123,1.091023562
Mohammad Shahzad,23,578,419,20,28.9,137.9,1,2,118,0.068973747,14.0762749,14.0762749,131.0856207,0.655428103
RG Sharma,18,497,376,17,29.2,132.2,0,4,83,0.077753442,15.86804935,15.86804935,119.0923484,0.595461742
Sabbir Rahman,16,464,363,13,35.7,127.8,0,2,80,0.098325917,20.06651357,20.06651357,81.74875656,0.408743783
H Masakadza,12,411,299,11,37.4,137.5,0,3,93,0.124961995,25.50244786,25.50244786,104.7080553,0.523540277
MJ Guptill,9,392,228,8,49,171.9,0,4,87,0.214912281,43.85964912,43.85964912,142.1774061,0.710887031
KS Williamson,10,383,322,9,42.6,118.9,0,3,72,0.13216011,26.97145111,26.97145111,104.8686474,0.524343237
Tamim Iqbal,11,368,271,8,46,135.8,1,1,103,0.169741697,34.64116274,34.64116274,121.8374244,0.609187122
JC Buttler,9,350,226,5,70,154.9,0,3,73,0.309734513,63.21112516,63.21112516,139.5662653,0.697831327
LD Chandimal,14,311,300,13,23.9,103.7,0,2,58,0.07974359,16.27420199,16.27420199,70.80691227,0.354034561
HM Amla,7,308,210,3,102.7,146.7,0,4,97,0.488888889,99.77324263,99.77324263,194.165766,0.97082883
S Dhawan,14,302,254,12,25.2,118.9,0,2,60,0.099081365,20.2206867,20.2206867,74.33283623,0.371664181
SR Watson,9,298,196,5,59.6,152,1,0,124,0.304081633,62.05747605,62.05747605,125.9827097,0.629913548
TM Dilshan,12,294,247,10,29.4,119,0,2,83,0.11902834,24.29149798,24.29149798,78.02981573,0.390149079
JE Root,8,291,199,6,48.5,146.2,0,2,83,0.243718593,49.73848836,49.73848836,103.3366192,0.516683096
Shoaib Malik,11,290,220,6,48.3,131.8,0,1,63,0.21969697,44.83611626,44.83611626,78.38751813,0.391937591
MN Waller,12,277,216,11,25.2,128.2,0,0,49,0.116582492,23.79234522,23.79234522,36.73627045,0.183681352
Mahmudullah,14,275,196,9,30.6,140.3,0,1,54,0.155895692,31.81544727,31.81544727,64.66591456,0.323329573
Umar Akmal,11,268,215,9,29.8,124.7,0,2,56,0.138501292,28.26556979,28.26556979,80.78893428,0.403944671
F du Plessis,9,268,211,6,44.7,127,0,1,79,0.211690363,43.20211497,43.20211497,75.72547946,0.378627397
C Munro,9,264,173,8,33,152.6,0,2,56,0.190751445,38.92886634,38.92886634,91.26531494,0.456326575
Asghar Stanikzai,11,262,213,10,26.2,123,0,3,62,0.123004695,25.10299895,25.10299895,97.3459896,0.486729948
Soumya Sarkar,16,260,238,16,16.2,109.2,0,0,48,0.068277311,13.93414509,13.93414509,26.0836778,0.130418389
Shakib Al Hasan,15,260,229,11,23.6,113.5,0,1,50,0.103215562,21.06440035,21.06440035,53.21393306,0.266069665
AD Mathews,9,248,208,6,41.3,119.2,0,2,81,0.198717949,40.55468341,40.55468341,92.14346846,0.460717342
Babar Hayat,8,245,164,7,35,149.4,1,1,122,0.213414634,43.55400697,43.55400697,125.0026051,0.625013025
J Charles,8,239,165,8,29.9,144.8,0,2,79,0.181060606,36.95114409,36.95114409,88.11936839,0.440596842
MS Dhoni,16,238,159,5,47.6,149.7,0,0,43,0.299371069,61.09613657,61.09613657,72.21763189,0.361088159
Q de Kock,7,229,156,6,38.2,146.8,0,1,52,0.24465812,49.9302285,49.9302285,80.63116308,0.403155815
GJ Maxwell,9,224,153,8,28,146.4,0,1,75,0.183006536,37.34827264,37.34827264,67.81556236,0.339077812
SK Raina,11,220,174,10,22,126.4,0,0,49,0.126436782,25.80342482,25.80342482,36.08379865,0.180418993
V Sibanda,8,219,195,8,27.4,112.3,0,1,59,0.140384615,28.64992151,28.64992151,58.88356637,0.294417832
AJ Finch,6,218,152,6,36.3,143.4,0,1,74,0.239035088,48.78267096,48.78267096,78.96958685,0.394847934
Najibullah Zadran,9,208,142,4,52,146.5,0,1,60,0.366197183,74.734119,74.734119,104.4537452,0.522268726
JJ Roy,9,207,151,9,23,137.1,0,1,78,0.152317881,31.08528179,31.08528179,60.75817899,0.303790895
Shaiman Anwar,11,202,193,10,20.2,104.7,0,0,46,0.104663212,21.35983927,21.35983927,30.79909161,0.153995458
AB de Villiers,8,201,110,7,28.7,182.7,0,2,71,0.261038961,53.27325735,53.27325735,102.6657807,0.513328904
UT Khawaja,7,199,145,6,33.2,137.2,0,1,58,0.228735632,46.68074126,46.68074126,75.97980668,0.379899033
Noor Ali Zadran,8,196,190,8,24.5,103.2,0,1,63,0.128947368,26.31578947,26.31578947,55.47466798,0.27737334
Mohammad Nabi,12,188,136,12,15.7,138.2,0,1,52,0.115196078,23.50940376,23.50940376,52.29445049,0.261472252
MN Samuels,8,187,171,6,31.2,109.4,0,1,85,0.182261209,37.19616502,37.19616502,65.93448277,0.329672414
Sarfraz Ahmed,9,186,151,6,31,123.2,0,1,58,0.205298013,41.89755372,41.89755372,70.58914251,0.352945713
DA Warner,8,185,122,8,23.1,151.6,0,1,77,0.18954918,38.68350619,38.68350619,67.328366,0.33664183
Mohammad Hafeez,9,182,159,8,22.8,114.5,0,2,64,0.143081761,29.20035939,29.20035939,77.70503229,0.388525161
KL Rahul,4,179,112,2,89.5,159.8,1,0,110,0.799107143,163.0830904,0,58.36448598,0.29182243
CK Kapugedera,11,178,174,8,22.2,102.3,0,0,32,0.127873563,26.09664555,26.09664555,34.41440256,0.172072013
DA Miller,7,177,102,5,35.4,173.5,0,1,53,0.347058824,70.82833133,70.82833133,99.09935937,0.495496797
SPD Smith,8,173,141,7,24.7,122.7,0,1,61,0.175278622,35.77114736,35.77114736,63.85525951,0.319276298
CJ Anderson,8,170,134,7,24.3,126.9,0,1,82,0.181236674,36.98707628,36.98707628,64.93100151,0.324655008
Muhammad Usman,8,167,145,8,20.9,115.2,0,0,46,0.143965517,29.3807178,29.3807178,37.18445612,0.185922281
Yuvraj Singh,11,166,159,8,20.8,104.4,0,0,35,0.130503145,26.63329483,26.63329483,34.39030417,0.171951521
Sharjeel Khan,8,164,118,8,20.5,139,0,0,47,0.173728814,35.45485991,35.45485991,43.11841131,0.215592057
KJ Coetzer,7,163,120,6,27.2,135.8,0,1,70,0.226388889,46.20181406,46.20181406,73.81863649,0.369093182
Rohan Mustafa,11,162,154,9,18,105.2,0,1,77,0.116883117,23.85369732,23.85369732,51.42379078,0.257118954
EJG Morgan,9,161,133,5,32.2,121.1,0,0,47,0.242105263,49.40923738,49.40923738,56.93260187,0.284663009
Amjad Javed,10,159,128,8,19.9,124.2,0,1,76,0.155273438,31.68845663,31.68845663,59.11836317,0.295591816
WTS Porterfield,6,159,129,4,39.8,123.3,0,1,72,0.308139535,62.88561936,62.88561936,90.31552591,0.45157763
E Chigumbura,10,155,120,5,31,129.2,0,1,54,0.258333333,52.72108844,52.72108844,79.96407909,0.399820395
Zeeshan Maqsood,5,154,132,5,30.8,116.7,0,1,53,0.233333333,47.61904762,47.61904762,74.8153093,0.374076547
TAM Siriwardana,12,152,118,8,19,128.8,0,0,42,0.161016949,32.86060187,32.86060187,39.96340561,0.199817028
