Bowler,Innings,Overs,Runs,Wickets,Econ,Avg,SR,5W,BBI,Initial_Q,MakeItRelative,Remove_outliers,Semi_final_Q,Quantifier
S Badree,12,47,235,19,5,12.4,14.8,0,15-Apr,0.080851064,92.93225728,92.93225728,142.9322573,0.840777984
K Santokie,10,34.4,234,16,6.8,14.6,13,0,21-Apr,0.068376068,78.59318204,78.59318204,120.6984452,0.709990854
Imran Tahir,8,30.1,201,15,6.7,13.4,12.1,0,21-Apr,0.074626866,85.77800652,85.77800652,125.2516907,0.736774651
SP Narine,13,49,264,14,5.4,18.9,21,0,16-Mar,0.053030303,60.9543713,60.9543713,97.79647656,0.575273392
KMDN Kulasekara,9,30.5,221,13,7.2,17,14.2,0,Apr-32,0.058823529,67.6132522,67.6132522,101.8237785,0.598963403
MAA Jamil,7,24.5,166,12,6.7,13.8,12.4,1,19-May,0.072289157,83.09098463,83.09098463,124.669932,0.733352541
NM Coulter-Nile,7,25,183,12,7.3,15.2,12.5,0,30-Apr,0.06557377,75.37214999,75.37214999,106.9510974,0.629124102
SL Malinga,9,29.3,191,12,6.5,15.9,14.8,0,20-Mar,0.062827225,72.2152013,72.2152013,103.7941487,0.610553816
Shakib Al Hasan,9,31.2,178,11,5.7,16.2,17.1,0,8-Mar,0.061797753,71.03189978,71.03189978,99.9792682,0.588113342
R Ashwin,7,27.1,159,11,5.9,14.5,14.8,0,11-Apr,0.06918239,79.51998843,79.51998843,108.4673569,0.638043276
MA Starc,9,32.2,230,10,7.1,23,19.4,0,16-Feb,0.043478261,49.97501249,49.97501249,76.29080197,0.448769423
A Mishra,6,22,147,10,6.7,14.7,13.2,0,26-Mar,0.068027211,78.19219642,78.19219642,104.5079859,0.614752858
Al-Amin Hossain,7,25.3,187,10,7.3,18.7,15.3,0,21-Mar,0.053475936,61.46659291,61.46659291,87.78238238,0.516366955
GJ Maxwell,10,31,215,9,6.9,23.9,20.7,0,13-Mar,0.041860465,48.11547715,48.11547715,71.79968767,0.422351104
NL McCullum,8,28.5,166,9,5.8,18.4,19.2,0,24-Apr,0.054216867,62.31823847,62.31823847,86.002449,0.505896759
AD Russell,13,25,218,9,8.7,24.2,16.7,0,10-Feb,0.041284404,47.45333755,47.45333755,71.13754808,0.418456165
T van der Gugten,7,25,169,9,6.8,18.8,16.7,0,30-Mar,0.053254438,61.21199755,61.21199755,84.89620808,0.499389459
WD Parnell,7,22.2,184,9,8.2,20.4,14.9,0,31-Mar,0.048913043,56.22188906,56.22188906,79.90609958,0.47003588
DW Steyn,5,19.1,153,9,8,17,12.8,0,17-Apr,0.058823529,67.6132522,67.6132522,91.29746272,0.537043898
JDS Neesham,8,22.3,162,9,7.2,18,15,0,16-Mar,0.055555556,63.85696041,63.85696041,87.54117094,0.514948064
CJ Jordan,7,22.1,181,9,8.2,20.1,14.8,0,Mar-39,0.049723757,57.15374357,57.15374357,80.8379541,0.475517377
SCJ Broad,8,25,212,8,8.5,26.5,18.8,0,24-Mar,0.037735849,43.37453915,43.37453915,64.42717072,0.378983357
Shahid Afridi,7,26.5,175,8,6.5,21.9,20.1,0,Feb-30,0.045714286,52.54515599,52.54515599,73.59778757,0.432928162
Umar Gul,5,17.3,147,8,8.4,18.4,13.1,0,30-Mar,0.054421769,62.55375714,62.55375714,83.60638871,0.491802287
Nadeem Ahmed,4,14.3,80,8,5.5,10,10.9,0,21-Apr,0.1,114.9425287,0,21.05263158,0.123839009
TA Boult,4,16,95,8,5.9,11.9,12,0,20-Mar,0.084210526,96.79370841,96.79370841,117.84634,0.693213765
AR Cusack,5,17,133,7,7.8,19,14.6,0,11-Apr,0.052631579,60.49606776,60.49606776,78.91712039,0.464218355
JP Faulkner,5,16.4,112,7,6.7,16,14.3,0,25-Mar,0.0625,71.83908046,71.83908046,90.26013309,0.530941959
RS Bopara,9,26,165,7,6.3,23.6,22.3,0,23-Feb,0.042424242,48.76349704,48.76349704,67.18454967,0.395203233
KD Mills,5,18.5,141,7,7.5,20.1,16.1,0,26-Mar,0.04964539,57.06366675,57.06366675,75.48471938,0.444027761
Mashrafe Mortaza,7,26,214,7,8.2,30.6,22.3,0,Feb-29,0.03271028,37.59802342,37.59802342,56.01907605,0.329523977
SP Gauchan,4,14.5,84,7,5.7,12,12.7,0,9-Mar,0.083333333,95.78544061,95.78544061,114.2064932,0.671802901
DE Bollinger,7,27,190,7,7,27.1,23.1,0,22-Jan,0.036842105,42.34724743,42.34724743,60.76830006,0.357460589
CJ Anderson,9,28.5,253,7,8.8,36.1,24.7,0,28-Feb,0.027667984,31.80228068,31.80228068,50.22333331,0.295431372
KJ O'Brien,5,15.5,105,7,6.6,15,13.6,0,17-Feb,0.066666667,76.62835249,76.62835249,95.04940512,0.559114148
MJ McClenaghan,6,24,155,6,6.5,25.8,24,0,24-Feb,0.038709677,44.49388209,44.49388209,60.28335578,0.354607975
CJ Boyce,4,15,82,6,5.5,13.7,15,0,10-Feb,0.073170732,84.10428932,84.10428932,99.893763,0.587610371
RA Jadeja,7,22.5,175,6,7.7,29.2,22.8,0,Mar-48,0.034285714,39.408867,39.408867,55.19834068,0.324696122
