Batsman,Innings,Runs,Balls,Outs,Avg,SR,100s,50s,HS,Initial_Q,MakeItRelative,Remove_outliers,Semi_final_Q,Quantifier
DR Smith,31,979,725,29,33.8,135,2,6,110,0.046563615,10.34746994,10.34746994,149.7174699,0.74858735
LMP Simmons,22,936,715,18,52,130.9,1,8,100,0.072727273,16.16161616,16.16161616,149.2416162,0.746208081
RV Uthappa,21,870,638,19,45.8,136.4,0,6,85,0.071770335,15.94896332,15.94896332,102.0489633,0.510244817
SK Raina,21,758,493,17,44.6,153.8,1,6,109,0.090442668,20.09837065,20.09837065,127.8383707,0.639191853
GJ Maxwell,27,755,415,25,30.2,181.9,0,5,95,0.072771084,16.17135207,16.17135207,88.82135207,0.44410676
BR Dunk,28,709,579,28,25.3,122.5,0,3,96,0.043733037,9.718452724,9.718452724,60.98845272,0.304942264
Shoaib Malik,21,634,497,16,39.6,127.6,0,5,81,0.07972837,17.7174156,17.7174156,86.7374156,0.433687078
MEK Hussey,21,598,480,20,29.9,124.6,0,6,96,0.062291667,13.84259259,13.84259259,91.78259259,0.458912963
MK Pandey,21,574,460,17,33.8,124.8,0,3,94,0.073401535,16.31145212,16.31145212,63.53145212,0.317657261
DA Miller,21,570,382,12,47.5,149.2,0,3,66,0.12434555,27.63234439,27.63234439,74.73234439,0.373661722
V Sehwag,22,561,406,22,25.5,138.2,1,2,122,0.062807882,13.95730706,13.95730706,75.78730706,0.378936535
CH Gayle,20,559,481,18,31.1,116.2,1,2,111,0.064564565,14.34768101,14.34768101,76.11768101,0.380588405
KA Pollard,30,552,402,19,29.1,137.3,0,2,78,0.072270228,16.06005062,16.06005062,52.62005062,0.263100253
BB McCullum,19,532,428,17,31.3,124.3,0,3,71,0.073117097,16.24824385,16.24824385,62.20824385,0.311041219
DA Warner,14,528,371,12,44,142.3,0,6,90,0.118598383,26.35519617,26.35519617,102.1951962,0.510975981
AJ Finch,19,527,421,16,32.9,125.2,0,4,88,0.078236342,17.38585379,17.38585379,73.19585379,0.365979269
G Gambhir,22,499,420,21,23.8,118.8,0,5,80,0.056575964,12.57243638,12.57243638,77.54243638,0.387712182
GJ Bailey,25,497,367,16,31.1,135.4,0,2,71,0.084638965,18.8086588,18.8086588,53.7186588,0.268593294
M Vohra,13,473,335,13,36.4,141.2,0,2,67,0.108610792,24.1357316,24.1357316,58.3257316,0.291628658
MS Dhoni,20,465,298,8,58.1,156,0,1,57,0.195050336,43.34451902,43.34451902,67.29451902,0.336472595
CJ Simmons,14,442,289,14,31.6,152.9,2,0,112,0.109243697,24.27637722,24.27637722,87.53637722,0.437681886
WP Saha,18,437,316,14,31.2,138.3,1,2,115,0.098779385,21.95097448,21.95097448,80.06097448,0.400304872
JP Duminy,14,410,302,8,51.2,135.8,0,2,67,0.169701987,37.71155261,37.71155261,70.01155261,0.350057763
AB de Villiers,13,395,248,11,35.9,159.3,0,3,89,0.144794721,32.17660476,32.17660476,74.02660476,0.370133024
F du Plessis,15,393,303,14,28.1,129.7,0,2,54,0.092644979,20.58777306,20.58777306,52.37777306,0.261888865
KP Pietersen,15,391,314,14,27.9,124.5,0,2,66,0.088944495,19.76544333,19.76544333,51.49544333,0.257477217
DJ Hussey,21,391,337,17,23,116,0,1,50,0.068249258,15.16650181,15.16650181,36.89650181,0.184482509
RG Sharma,15,390,302,13,30,129.1,0,3,59,0.099337748,22.07505519,22.07505519,63.77505519,0.318875276
DJ Bravo,15,379,287,11,34.5,132.1,0,2,67,0.120050681,26.67792912,26.67792912,58.04792912,0.290239646
AC Voges,23,377,367,18,20.9,102.7,0,1,71,0.057069331,12.68207354,12.68207354,33.99207354,0.169960368
S Dhawan,14,377,318,12,31.4,118.6,0,2,64,0.098794549,21.95434428,21.95434428,53.26434428,0.266321721
TD Paine,15,376,304,15,25.1,123.7,0,2,65,0.08245614,18.32358674,18.32358674,49.60358674,0.248017934
Yuvraj Singh,14,376,274,11,34.2,137.2,0,3,83,0.124751161,27.72248028,27.72248028,69.00248028,0.345012401
AT Rayudu,16,370,304,16,23.1,121.7,0,2,68,0.076069079,16.90423977,16.90423977,48.00423977,0.240021199
MJ Guptill,10,359,282,7,51.3,127.3,0,5,90,0.181864235,40.41427446,40.41427446,101.1842745,0.505921372
V Kohli,14,359,294,13,27.6,122.1,0,2,73,0.09392988,20.87330659,20.87330659,51.64330659,0.258216533
AD Russell,18,359,193,12,29.9,186,0,3,62,0.155008636,34.44636346,34.44636346,75.21636346,0.376081817
AM Rahane,12,339,291,12,28.2,116.5,0,3,72,0.097079038,21.57311951,21.57311951,61.74311951,0.308715598
SV Samson,13,339,273,13,26.1,124.2,0,2,74,0.095519865,21.22663661,21.22663661,51.39663661,0.256983183
YK Pathan,17,335,222,12,27.9,150.9,0,1,72,0.125750751,27.94461128,27.94461128,47.99461128,0.239973056
BJ Hodge,11,333,253,8,41.6,131.6,0,3,64,0.164525692,36.56126482,36.56126482,76.55126482,0.382756324
AC Blizzard,11,330,238,7,47.1,138.7,0,3,80,0.198079232,44.01760704,44.01760704,83.91760704,0.419588035
KK Nair,11,330,232,10,33,142.2,0,3,73,0.142241379,31.6091954,31.6091954,71.5091954,0.357545977
KD Karthik,14,325,257,14,23.2,126.5,0,3,69,0.09032796,20.07288,20.07288,59.82288,0.2991144
MN Samuels,9,325,233,6,54.2,139.5,1,2,106,0.232474964,51.66110316,51.66110316,106.4111032,0.532055516
E Lewis,8,321,251,8,40.1,127.9,0,3,77,0.159860558,35.52456839,35.52456839,75.15456839,0.375772842
JH Kallis,14,318,249,11,28.9,127.7,0,3,97,0.116100767,25.80017038,25.80017038,65.34017038,0.326700852
LRPL Taylor,13,298,271,11,27.1,110,0,3,70,0.099966454,22.2147676,22.2147676,61.1547676,0.305773838
SPD Smith,10,289,211,7,41.3,137,0,2,65,0.195666892,43.48153163,43.48153163,72.15153163,0.360757658
JW Wells,14,285,218,10,28.5,130.7,0,2,68,0.130733945,29.05198777,29.05198777,57.60198777,0.288009939
LJ Wright,10,281,221,10,28.1,127.1,0,1,52,0.127149321,28.25540473,28.25540473,46.68540473,0.233427024
Shakib Al Hasan,13,275,189,9,30.6,145.5,0,1,60,0.161669606,35.92657914,35.92657914,54.17657914,0.270882896
NJ Maddinson,13,275,202,11,25,136.1,0,2,84,0.123762376,27.50275028,27.50275028,55.75275028,0.278763751
MC Henriques,12,273,238,10,27.3,114.7,0,1,55,0.114705882,25.49019608,25.49019608,43.68019608,0.21840098
CAK Walton,11,267,238,10,26.7,112.2,0,1,54,0.112184874,24.92997199,24.92997199,42.93997199,0.21469986
MJ Lumb,10,266,210,10,26.6,126.7,0,2,56,0.126666667,28.14814815,28.14814815,56.12814815,0.280640741
CJ Anderson,11,265,181,9,29.4,146.4,0,1,95,0.162676489,36.15033081,36.15033081,54.10033081,0.270501654
MR Marsh,11,256,198,8,32,129.3,0,1,63,0.161616162,35.91470258,35.91470258,53.59470258,0.267973513
RA Jadeja,13,255,162,5,51,157.4,0,0,44,0.314814815,69.95884774,69.95884774,77.60884774,0.388044239
DJG Sammy,20,253,194,14,18.1,130.4,0,0,46,0.093151694,20.70037637,20.70037637,28.29037637,0.141451882
D Ramdin,9,250,173,6,41.7,144.5,0,3,84,0.240847784,53.52172982,53.52172982,91.02172982,0.455108649
CA Lynn,9,250,181,9,27.8,138.1,0,1,56,0.153468386,34.10408567,34.10408567,51.60408567,0.258020428
JL Carter,7,245,195,5,49,125.6,1,0,111,0.251282051,55.84045584,55.84045584,88.19045584,0.440952279
Mohammad Hafeez,16,244,223,15,16.3,109.4,0,1,67,0.072944694,16.2099319,16.2099319,33.5299319,0.16764966
KS Williamson,7,244,160,6,40.7,152.5,1,2,101,0.254166667,56.48148148,56.48148148,108.8014815,0.544007407
JP Faulkner,15,241,146,7,34.4,165.1,0,0,41,0.235812133,52.40269624,52.40269624,59.63269624,0.298163481
SR Watson,13,240,195,12,20,123.1,0,2,51,0.102564103,22.79202279,22.79202279,49.99202279,0.249960114
SA Yadav,14,240,156,7,34.3,153.8,0,0,43,0.21978022,48.84004884,48.84004884,56.04004884,0.280200244
SM Katich,7,239,178,7,34.1,134.3,0,2,75,0.191813804,42.62528982,42.62528982,69.79528982,0.348976449
TP Ludeman,8,236,159,6,39.3,148.4,0,2,92,0.247379455,54.97321221,54.97321221,82.05321221,0.410266061
NV Ojha,10,232,159,6,38.7,145.9,0,1,79,0.243186583,54.04146285,54.04146285,71.00146285,0.355007314
M Klinger,7,231,184,6,38.5,125.5,1,0,105,0.20923913,46.49758454,46.49758454,78.42758454,0.392137923
ADS Fletcher,9,224,205,9,24.9,109.3,0,1,78,0.121409214,26.97982535,26.97982535,43.69982535,0.218499127
KJ O'Brien,9,222,168,7,31.7,132.1,0,2,90,0.18877551,41.95011338,41.95011338,68.61011338,0.343050567
CL White,9,217,166,8,27.1,130.7,0,2,84,0.163403614,36.31191432,36.31191432,62.82191432,0.314109572
TR Birt,13,214,171,11,19.5,125.1,0,0,33,0.113769272,25.28206037,25.28206037,31.70206037,0.158510302
DM Bravo,7,212,186,5,42.4,114,0,2,69,0.227956989,50.65710872,50.65710872,77.01710872,0.385085544
M Vijay,11,207,192,10,20.7,107.8,0,1,52,0.1078125,23.95833333,23.95833333,40.16833333,0.200841667
Saad Nasim,6,207,160,5,41.4,129.4,0,2,69,0.25875,57.5,57.5,83.71,0.41855
AP Devcich,7,206,167,7,29.4,123.4,0,1,67,0.176218991,39.15977569,39.15977569,55.33977569,0.276698878
PA Patel,12,205,185,10,20.5,110.8,0,1,57,0.110810811,24.62462462,24.62462462,40.77462462,0.203873123
NJ Reardon,7,203,149,8,25.4,136.2,0,0,49,0.170302013,37.84489187,37.84489187,43.93489187,0.219674459
J Charles,9,203,172,9,22.6,118,0,2,62,0.131136951,29.14154465,29.14154465,55.23154465,0.276157723
SM Whiteman,11,201,186,11,18.3,108.1,0,1,54,0.098240469,21.83121538,21.83121538,37.86121538,0.189306077
SE Marsh,5,193,142,4,48.2,135.9,0,1,63,0.339788732,75.5086072,75.5086072,91.2986072,0.456493036
Umar Akmal,6,189,118,3,63,160.2,0,1,73,0.533898305,118.6440678,0,15.67,0.07835
Sohail Tanvir,9,189,104,5,37.8,181.7,0,1,50,0.363461538,80.76923077,80.76923077,96.43923077,0.482196154
JDS Neesham,11,172,170,9,19.1,101.2,0,0,35,0.112418301,24.98184459,24.98184459,30.14184459,0.150709223
CD Barnwell,9,170,116,6,28.3,146.6,0,0,37,0.244252874,54.27841635,54.27841635,59.37841635,0.296892082
AP Tare,13,170,143,10,17,118.9,0,0,37,0.118881119,26.41802642,26.41802642,31.51802642,0.157590132
KL Rahul,8,166,164,8,20.8,101.2,0,0,46,0.12652439,28.11653117,28.11653117,33.09653117,0.165482656
MS Wade,7,156,131,6,26,119.1,0,0,44,0.198473282,44.10517388,44.10517388,48.78517388,0.243925869
RA Reifer,7,155,134,5,31,115.7,0,2,65,0.231343284,51.40961857,51.40961857,76.05961857,0.380298093
Q de Kock,7,154,130,7,22,118.5,0,0,48,0.169230769,37.60683761,37.60683761,42.22683761,0.211134188
H Davids,7,153,127,6,25.5,120.5,0,1,53,0.200787402,44.61942257,44.61942257,59.20942257,0.296047113
JO Holder,12,152,109,10,15.2,139.4,0,0,48,0.139449541,30.98878695,30.98878695,35.54878695,0.177743935
MK Tiwary,8,152,118,5,30.4,128.8,0,1,61,0.257627119,57.25047081,57.25047081,71.81047081,0.359052354
