Bowler,Innings,Overs,Runs,Wickets,Econ,Avg,SR,5W,BBI,Initial_Q,MakeItRelative,Remove_outliers,Semi_final_Q,Quantifier
AD Russell,40,134.4,"1,106",54,8.2,20.5,15,0,20-Apr,0.048824593,55.48249219,55.48249219,105.4824922,0.620485248
DJ Bravo,41,151,"1,292",47,8.6,27.5,19.3,0,13-Apr,0.036377709,41.33830566,41.33830566,84.85682418,0.499157789
SR Watson,39,130.5,"1,060",38,8.1,27.9,20.7,0,29-Apr,0.035849057,40.73756432,40.73756432,75.92274951,0.446604409
A Zampa,25,87.2,629,36,7.2,17.5,14.6,1,19-Jun,0.057233704,65.03830033,65.03830033,108.3716337,0.637480198
SP Narine,24,94.4,595,29,6.3,20.5,19.6,0,26-Mar,0.048739496,55.38579068,55.38579068,82.23764253,0.483750838
B Kumar,17,66,490,23,7.4,21.3,17.2,0,29-Apr,0.046938776,53.33951763,53.33951763,74.63581392,0.4390342
YS Chahal,13,49.2,401,22,8.1,18.2,13.5,0,25-Apr,0.054862843,62.34413965,62.34413965,82.71451002,0.486555941
S Badree,22,85.1,584,22,6.9,26.5,23.2,1,22-May,0.037671233,42.80821918,42.80821918,73.17858955,0.430462291
Shakib Al Hasan,27,86,646,20,7.5,32.3,25.8,0,23-Mar,0.030959752,35.18153673,35.18153673,53.70005525,0.315882678
SW Tait,17,64.2,519,20,8.1,26,19.3,0,16-Mar,0.038535645,43.79050622,43.79050622,62.30902474,0.366523675
KK Cooper,17,55,525,19,9.5,27.6,17.4,0,22-Mar,0.036190476,41.12554113,41.12554113,58.71813372,0.345400787
DS Kulkarni,14,49,364,19,7.4,19.2,15.5,0,14-Apr,0.052197802,59.31568432,59.31568432,76.90827691,0.452401629
Sohail Tanvir,18,63.5,464,19,7.3,24.4,20.2,0,20-Apr,0.040948276,46.53213166,46.53213166,64.12472425,0.37720426
MJ McClenaghan,14,53.3,436,17,8.1,25.6,18.9,0,21-Apr,0.038990826,44.30775646,44.30775646,60.0484972,0.353226454
Mustafizur Rahman,16,61.1,422,17,6.9,24.8,21.6,0,16-Mar,0.04028436,45.77768203,45.77768203,61.51842277,0.361873075
KOK Williams,12,41.5,337,17,8.1,19.8,14.8,0,Apr-37,0.050445104,57.32398166,57.32398166,73.0647224,0.429792485
MP Stoinis,15,39,309,17,7.9,18.2,13.8,0,15-Apr,0.055016181,62.51838776,62.51838776,78.2591285,0.460347815
CJ Jordan,12,38,362,17,9.5,21.3,13.4,0,11-Apr,0.046961326,53.36514314,53.36514314,69.10588388,0.406505199
JJ Bumrah,14,51.5,404,15,7.8,26.9,20.7,0,13-Mar,0.037128713,42.19171917,42.19171917,56.08060806,0.32988593
Sandeep Sharma,14,50,366,15,7.3,24.4,20,0,11-Feb,0.040983607,46.57228018,46.57228018,60.46116907,0.355653936
Wahab Riaz,9,34.2,245,15,7.1,16.3,13.7,0,17-Mar,0.06122449,69.57328386,69.57328386,83.46217275,0.490953957
Imad Wasim,17,50.5,333,15,6.6,22.2,20.3,0,21-Mar,0.045045045,51.18755119,51.18755119,65.07644008,0.382802589
CJ McKay,10,35,316,15,9,21.1,14,0,28-Apr,0.047468354,53.94131185,53.94131185,67.83020074,0.399001181
SA Abbott,7,22,171,15,7.8,11.4,8.8,1,16-May,0.087719298,99.68102073,99.68102073,123.5699096,0.726881821
A Mishra,14,46,344,14,7.5,24.6,19.7,0,11-Apr,0.040697674,46.24735729,46.24735729,59.21032026,0.348296002
BB Sran,14,49.3,413,14,8.3,29.5,21.2,0,28-Mar,0.033898305,38.52080123,38.52080123,51.4837642,0.302845672
NLTC Perera,17,53.1,486,14,9.1,34.7,22.8,0,Mar-34,0.028806584,32.73475496,32.73475496,45.69771792,0.268810105
JE Taylor,7,28,201,13,7.2,15.5,12.9,0,19-Feb,0.064676617,73.49615559,73.49615559,85.53319262,0.503136427
Mohammad Nawaz (3),10,35.4,234,13,6.6,18,16.5,0,13-Apr,0.055555556,63.13131313,63.13131313,75.16835017,0.442166766
M Morkel,14,51.3,422,13,8.2,32.5,23.8,0,27-Feb,0.030805687,35.00646273,35.00646273,47.04349977,0.276726469
MM Sharma,14,48.3,410,13,8.5,31.5,22.4,0,23-Mar,0.031707317,36.03104213,36.03104213,48.06807917,0.282753407
CH Morris,12,44,308,13,7,23.7,20.3,0,Feb-30,0.042207792,47.96340024,47.96340024,60.00043727,0.352943749
RR Emrit,12,36,276,13,7.7,21.2,16.6,0,17-Feb,0.047101449,53.52437418,53.52437418,65.56141121,0.38565536
AR Patel,14,47.5,388,13,8.1,29.8,22.1,0,21-Apr,0.033505155,38.07403936,38.07403936,50.1110764,0.294771038
DW Steyn,8,27.5,193,12,6.9,16.1,13.9,0,27-Apr,0.062176166,70.65473387,70.65473387,81.76584498,0.480975559
BCJ Cutting,11,36.5,327,12,8.9,27.2,18.4,0,20-Feb,0.036697248,41.70141785,41.70141785,52.81252896,0.310661935
Mohammad Sami,7,24.4,138,12,5.6,11.5,12.3,1,8-May,0.086956522,98.81422925,98.81422925,119.9253404,0.705443179
AJ Tye,9,35,234,12,6.7,19.5,17.5,0,15-Mar,0.051282051,58.27505828,58.27505828,69.38616939,0.408153938
MC Henriques,17,52,415,12,8,34.6,26,0,17-Feb,0.028915663,32.85870756,32.85870756,43.96981867,0.258645992
GB Hogg,13,46,351,11,7.6,31.9,25.1,0,19-Mar,0.031339031,35.61253561,35.61253561,45.7977208,0.269398358
R Rampaul,9,31,272,11,8.8,24.7,16.9,0,22-Feb,0.040441176,45.95588235,45.95588235,56.14106754,0.330241574
RS Bopara,9,22,152,11,6.9,13.8,12,1,16-Jun,0.072368421,82.23684211,82.23684211,102.4220273,0.602482513
BW Hilfenhaus,7,24,199,11,8.3,18.1,13.1,0,17-Mar,0.055276382,62.81407035,62.81407035,72.99925554,0.429407386
AB Dinda,9,30.3,231,11,7.6,21,16.6,0,20-Mar,0.047619048,54.11255411,54.11255411,64.2977393,0.378221996
KW Richardson,7,24.3,233,11,9.5,21.2,13.4,0,13-Mar,0.0472103,53.64806867,53.64806867,63.83325385,0.375489729
Mohammad Asghar,9,31,203,11,6.5,18.5,16.9,0,20-Mar,0.054187192,61.57635468,61.57635468,71.76153986,0.422126705
S Aravind,9,29.1,213,11,7.3,19.4,15.9,0,18-Feb,0.051643192,58.68544601,58.68544601,68.87063119,0.40512136
GD Elliott,10,30,212,11,7.1,19.3,16.4,0,15-Apr,0.051886792,58.96226415,58.96226415,69.14744934,0.406749702
PP Chawla,11,34.4,263,11,7.6,23.9,18.9,0,21-Feb,0.041825095,47.52851711,47.52851711,57.7137023,0.339492366
T Shamsi,11,44,332,11,7.5,30.2,24,0,17-Feb,0.03313253,37.65060241,37.65060241,47.83578759,0.281386986
CJ Green,9,27,208,10,7.7,20.8,16.2,0,27-Mar,0.048076923,54.63286713,54.63286713,63.89212639,0.375836038
CR Brathwaite,12,38.1,300,10,7.9,30,22.9,0,Mar-43,0.033333333,37.87878788,37.87878788,47.13804714,0.27728263
K Santokie,9,34.3,261,10,7.6,26.1,20.7,0,24-Mar,0.038314176,43.53883664,43.53883664,52.7980959,0.310577035
Z Khan,12,43.4,337,10,7.7,33.7,26.2,0,21-Mar,0.029673591,33.71998921,33.71998921,42.97924847,0.252819109
DJ Willey,9,32,227,10,7.1,22.7,19.2,0,22-Mar,0.044052863,50.06007209,50.06007209,59.31933135,0.348937243
Shahid Afridi,10,37,244,10,6.6,24.4,22.2,1,7-May,0.040983607,46.57228018,46.57228018,65.83153944,0.38724435
UT Yadav,9,26,234,10,9,23.4,15.6,0,28-Mar,0.042735043,48.56254856,48.56254856,57.82180782,0.340128281
R Ashwin,14,44,319,10,7.2,31.9,26.4,0,Apr-34,0.031347962,35.62268453,35.62268453,44.88194378,0.264011434
AU Rashid,5,18.4,105,9,5.6,11.7,12.4,0,23-Mar,0.085714286,97.4025974,97.4025974,105.7359307,0.621976063
Anwar Ali,9,30.1,258,9,8.6,28.7,20.1,0,Feb-33,0.034883721,39.64059197,39.64059197,47.9739253,0.282199561
A Nehra,8,26,199,9,7.7,22.1,17.3,0,15-Mar,0.045226131,51.39333029,51.39333029,59.72666362,0.351333315
Harbhajan Singh,14,49,392,9,8,43.6,32.7,0,Feb-29,0.022959184,26.08998145,26.08998145,34.42331478,0.202490087
CJ Boyce,8,30,265,9,8.8,29.4,20,0,Mar-34,0.033962264,38.59348199,38.59348199,46.92681532,0.27604009
DE Johnson,6,23.3,227,9,9.7,25.2,15.7,0,30-Mar,0.039647577,45.05406488,45.05406488,53.38739821,0.314043519
DR Smith,18,37,309,9,8.4,34.3,24.7,0,8-Apr,0.029126214,33.09796999,33.09796999,41.43130332,0.243713549
TG Southee,11,43,329,9,7.7,36.6,28.7,0,24-Mar,0.027355623,31.08593534,31.08593534,39.41926867,0.231878051
DJG Sammy,16,39,342,9,8.8,38,26,0,9-Jan,0.026315789,29.90430622,29.90430622,38.23763955,0.224927291
Imran Khalid,8,23.1,145,9,6.3,16.1,15.4,0,20-Apr,0.062068966,70.53291536,70.53291536,78.86624869,0.46391911
P Kumar,16,51.3,401,9,7.8,44.6,34.3,0,19-Feb,0.02244389,25.50442077,25.50442077,33.8377541,0.199045612
Zulfiqar Babar,10,40,289,9,7.2,32.1,26.7,0,Feb-29,0.031141869,35.38848695,35.38848695,43.72182028,0.257187178
Fawad Ahmed,10,31,263,8,8.5,32.9,23.2,0,Mar-39,0.030418251,34.56619426,34.56619426,41.97360167,0.246903539
MG Neser,6,19.3,181,8,9.3,22.6,14.6,0,26-Mar,0.044198895,50.22601708,50.22601708,57.63342448,0.339020144
BJ Dwarshuis,7,24.3,216,8,8.8,27,18.4,0,Feb-29,0.037037037,42.08754209,42.08754209,49.49494949,0.291146762
