Batsman,Innings,Runs,Balls,Outs,Avg,SR,100s,50s,HS,Initial_Q,MakeItRelative,Remove_outliers,Semi_final_Q,Quantifier
Mohammad Shahzad,15,379,249,14,27.1,152.2,0,3,75,0.108720597,15.10008287,15.10008287,105.1000829,0.525500414
F du Plessis,6,272,171,5,54.4,159.1,1,1,119,0.318128655,44.18453541,44.18453541,135.7148784,0.678574392
SC Williams,10,246,192,8,30.8,128.1,0,2,58,0.16015625,22.24392361,22.24392361,81.71621913,0.408581096
Asghar Stanikzai,10,228,208,8,28.5,109.6,0,1,51,0.137019231,19.03044872,19.03044872,57.07794212,0.285389711
MS Chapman,8,227,183,7,32.4,124,0,1,63,0.177205308,24.61184838,24.61184838,62.58018611,0.312900931
BN Cooper,8,223,174,7,31.9,128.2,0,2,66,0.183087028,25.42875388,25.42875388,83.08046892,0.415402345
Shoaib Malik,8,219,176,7,31.3,124.4,0,1,75,0.17775974,24.68885281,24.68885281,62.02394516,0.310119726
Samiullah Shenwari,8,212,186,5,42.4,114,0,0,44,0.227956989,31.66069295,31.66069295,48.44169559,0.242208478
MH Cross,5,206,113,5,41.2,182.3,0,1,60,0.36460177,50.63913471,50.63913471,86.94520331,0.434726017
Ahmed Shehzad,9,199,184,9,22.1,108.2,0,1,55,0.120169082,16.6901503,16.6901503,52.44212919,0.262210646
Babar Hayat,8,195,162,5,39,120.4,0,1,65,0.240740741,33.43621399,33.43621399,68.87157019,0.344357851
Mukhtar Ahmed,6,192,134,6,32,143.3,0,2,83,0.23880597,33.16749585,33.16749585,88.36538504,0.441826925
PW Borren,7,190,123,5,38,154.5,0,1,57,0.308943089,42.90876242,42.90876242,77.94834026,0.389741701
Sikandar Raza,10,181,159,10,18.1,113.8,0,1,59,0.113836478,15.81062194,15.81062194,50.13779872,0.250688994
RR Rossouw,7,180,120,4,45,150,0,1,51,0.375,52.08333333,52.08333333,86.33135444,0.431656772
Najibullah Zadran,7,173,105,5,34.6,164.8,0,0,44,0.32952381,45.76719577,45.76719577,59.46112717,0.297305636
E Chigumbura,10,171,124,10,17.1,137.9,0,1,54,0.137903226,19.15322581,19.15322581,52.68884586,0.263444229
