Bowler,Innings,Overs,Runs,Wickets,Econ,Avg,SR,5W,BBI,Initial_Q,MakeItRelative,Remove_outliers,Semi_final_Q,Quantifier
MAA Jamil,7,24.4,171,16,6.9,10.7,9.2,0,21-Apr,0.093567251,99.96501225,99.96501225,149.9650122,0.882147131
D Wiese,7,23.2,165,15,7.1,11,9.3,1,23-May,0.090909091,97.12509713,97.12509713,154.0000971,0.905882924
AG Cremer,9,33,217,14,6.6,15.5,14.1,0,18-Mar,0.064516129,68.92748828,68.92748828,112.6774883,0.662808755
Haseeb Amjad,8,29.2,214,14,7.3,15.3,12.6,0,16-Apr,0.065420561,69.89376148,69.89376148,113.6437615,0.668492715
Dawlat Zadran,8,30.4,226,13,7.4,17.4,14.2,0,17-Mar,0.057522124,61.45526057,61.45526057,102.0802606,0.600472121
Mudassar Bukhari,7,23.5,155,11,6.5,14.1,13,0,28-Apr,0.070967742,75.82023711,75.82023711,110.1952371,0.648207277
Aizaz Khan,8,28.3,176,11,6.2,16,15.5,0,22-Mar,0.0625,66.77350427,66.77350427,101.1485043,0.594991202
KJ O'Brien,6,19,94,11,4.9,8.5,10.4,0,7-Mar,0.117021277,125.0227314,0,34.375,0.202205882
Sohail Tanvir,8,31,241,11,7.8,21.9,16.9,0,29-Mar,0.045643154,48.76405291,48.76405291,83.13905291,0.489053252
Bilal Khan,6,22.1,144,10,6.5,14.4,13.3,0,20-Apr,0.069444444,74.19278253,74.19278253,105.4427825,0.620251662
B Regmi,7,24,155,10,6.5,15.5,14.4,0,16-Apr,0.064516129,68.92748828,68.92748828,100.1774883,0.589279343
AM Phangiso,6,23,176,9,7.7,19.6,15.3,0,30-Mar,0.051136364,54.63286713,54.63286713,82.75786713,0.486810983
SC Williams,10,36,272,9,7.6,30.2,24,0,28-Mar,0.033088235,35.35067873,35.35067873,63.47567873,0.373386345
AC Evans,5,20,134,9,6.7,14.9,13.3,1,24-May,0.067164179,71.75660161,71.75660161,109.8816016,0.646362362
RE van der Merwe,5,20,130,9,6.5,14.4,13.3,0,10-Feb,0.069230769,73.96449704,73.96449704,102.089497,0.600526453
Mohammad Nabi,8,31.5,231,8,7.3,28.9,23.9,0,25-Mar,0.034632035,37.000037,37.000037,62.000037,0.3647061
SM Sharif,6,23.1,192,8,8.3,24,17.4,0,29-Mar,0.041666667,44.51566952,44.51566952,69.51566952,0.408915703
Irfan Ahmed,4,14,100,8,7.1,12.5,10.5,0,11-Mar,0.08,85.47008547,85.47008547,110.4700855,0.649824032
K Rabada,6,23,174,8,7.6,21.8,17.2,0,30-Mar,0.045977011,49.12073878,49.12073878,74.12073878,0.436004346
Mirwais Ashraf,7,28,193,8,6.9,24.1,21,0,21-Feb,0.041450777,44.28501838,44.28501838,69.28501838,0.407558932
DJ Willey,4,14.2,135,8,9.4,16.9,10.8,0,22-Mar,0.059259259,63.31117442,63.31117442,88.31117442,0.519477497
MA Leask,5,17,119,8,7,14.9,12.8,0,20-Mar,0.067226891,71.82360124,71.82360124,96.82360124,0.569550596
Hamid Hassan,4,15,120,7,8,17.1,12.9,0,29-Mar,0.058333333,62.32193732,62.32193732,84.19693732,0.495276102
DJ Bravo,5,19,178,7,9.4,25.4,16.3,0,29-Apr,0.039325843,42.01478921,42.01478921,63.88978921,0.375822289
KJ Abbott,9,31.2,263,7,8.4,37.6,26.9,0,20-Mar,0.02661597,28.43586494,28.43586494,50.31086494,0.295946264
Shahid Afridi,10,37,266,7,7.2,38,31.7,0,15-Mar,0.026315789,28.11515969,28.11515969,49.99015969,0.294059763
Zeeshan Maqsood,5,16,127,7,7.9,18.1,13.7,0,22-Mar,0.05511811,58.88686991,58.88686991,80.76186991,0.475069823
